product,hf_pk,standardD
2,150,15.4648043363042
2,317,16.2074984663256
3,216,3.07793505625546
5,402,95.9477514822143
2,10254,11.6002127163658
5,215,52.1936194667842
5,214,71.4028010655044
0,148,229.681569109073
1,341,2.94835724726776
0,10194,511.318142084009
5,216,89.6155941237067
3,402,2.07708587070581
2,10192,7.51751202280296
0,321,245.550993637148
5,401,58.4067605094018
3,10171,3.21899126465183
5,400,67.83346480439
2,148,14.8367304831142
0,906,269.593649648385
1,340,3.76828873628335
5,210,54.5865523696519
0,985,440.587842613506
2,153,10.7231196075418
2,319,9.28417111719368
2,185,8.42658607866652
5,566,104.315175521857
5,403,59.1607978309962
2,417,8.49063655392863
0,150,718.781422501537
0,397,228.619042659763
2,322,10.6912364220367
2,152,15.0842080777657
3,408,3.10145895008263
5,406,80.229450365077
3,10193,5.72414093761537
0,10027,252.842121612556
5,389,24.9827860964225
1,169,6.40127454414148
5,10257,39.0131601727759
5,399,42.3949682548924
3,191,0.928611242975073
5,207,113.29385612423
3,371,3.96265244237808
2,187,15.4738869218625
5,395,85.9983601513305
2,143,6.85291908605377
2,10184,3.19270000678631
2,365,7.55244819142843
0,153,209.18842487444
1,343,6.02140431639667
0,10064,425.073383020369
0,674,215.46314863812
3,368,1.86387391580707
5,388,50.629826291869
2,364,8.25255205282677
5,986,67.4111038108415
0,10065,387.528800773015
1,342,7.93725393319377
0,319,300.106169809777
5,10253,45.969055058686
6,10030,9.26501245765249
2,10173,11.8565993171913
6,146,10.1349588703826
5,981,92.3369952383939
3,323,4.29842404554999
6,145,3.86685520416274
2,189,15.8781820957774
5,982,69.5358236395512
6,311,5.63060420414219
6,142,8.97717904409529
7,1004,88.063722450409
3,366,0.841897386141095
0,999,728.261093139143
0,981,554.931273175983
5,10364,67.5575765835791
0,10254,273.427284666326
6,150,8.33526644245202
2,10189,18.6744031586911
5,749,52.2929886951078
6,148,5.13160143944688
6,317,1.19023807142381
1,347,6.65793235480106
3,223,3.72897615410648
5,10034,65.5452819254291
5,972,78.2935760964526
5,966,124.982404558703
3,230,11.2811659806224
6,10337,3.13003218023
0,908,566.50978220445
6,330,3.67444396630816
0,982,242.403452628369
0,482,578.079101524218
5,979,75.7378170481361
0,417,190.762652248163
7,429,68.9558469740517
2,10186,16.3098470597094
5,973,95.1566119463143
5,739,52.17196839026
3,189,6.18796005749897
0,663,207.318651677396
6,662,2.20627447495173
7,431,110.570027557888
0,322,94.63936216484
6,10254,2.34940512332325
