product,budget,dateF
7,29910,8/1/19
3,128,8/1/19
5,40780,7/1/19
6,1830,7/1/19
2,478,7/1/19
0,31056,7/1/19
4,760,7/1/19
7,29948,7/1/19
1,402,7/1/19
3,304,7/1/19
7,64276,6/1/19
0,167826,6/1/19
6,3084,6/1/19
1,80,6/1/19
5,65946,6/1/19
2,90,6/1/19
4,824,6/1/19
3,42,6/1/19
0,243430,5/1/19
1,782,5/1/19
4,622,5/1/19
7,77378,5/1/19
5,64486,5/1/19
2,1248,5/1/19
3,172,5/1/19
6,3122,5/1/19
7,91644,4/1/19
3,1542,4/1/19
0,307040,4/1/19
4,1264,4/1/19
1,4502,4/1/19
6,3436,4/1/19
5,60462,4/1/19
2,4348,4/1/19
2,2842,3/1/19
3,708,3/1/19
5,71618,3/1/19
0,177234,3/1/19
1,2574,3/1/19
6,4044,3/1/19
7,77410,3/1/19
4,646,3/1/19
0,700,2/1/19
7,160,2/1/19
